"Date","Steps","Distance (mi)","Elevation (ft)","Calories"
"2015-09-26","6497","3.56","0","280"
"2015-09-25","8045","4.44","0","352"
"2015-09-24","8466","4.57","0","362"
"2015-09-23","6547","3.61","0","287"
"2015-09-22","11402","6.34","0","506"
"2015-09-21","6090","3.34","0","262"
"2015-09-20","11035","5.99","0","485"
"2015-09-19","6590","3.97","0","329"
"2015-09-18","7322","3.93","0","312"
"2015-09-17","11090","6.02","0","482"
"2015-09-16","8226","4.76","0","383"
"2015-09-15","8458","4.94","0","425"
"2015-09-14","8887","4.90","0","383"
"2015-09-13","9314","5.11","0","406"
"2015-09-12","6701","3.59","0","289"
"2015-09-11","18411","10.22","0","831"
"2015-09-10","9937","5.41","0","420"
"2015-09-09","7204","3.91","0","310"
"2015-09-08","5904","3.16","0","246"
"2015-09-07","5663","3.07","0","238"
"2015-09-05","14002","7.55","0","594"
"2015-09-04","9046","4.93","0","375"
"2015-09-03","8698","4.66","0","356"
"2015-09-03","10100","5.53","0","441"
"2015-09-02","13593","7.39","0","601"
"2015-09-01","9207","5.05","0","404"
"2015-08-31","10466","5.63","0","451"
"2015-08-30","15654","8.51","0","696"
"2015-08-29","14846","8.89","0","810"
"2015-08-28","10576","5.74","0","457"
"2015-08-27","12878","7.20","0","592"
"2015-08-26","10074","5.54","0","439"
"2015-08-25","5651","3.00","0","236"
"2015-08-24","8367","4.50","0","353"
"2015-08-23","957","0.51","0","31"
"2015-08-22","11096","6.71","0","619"
"2015-08-21","13980","7.68","0","616"
"2015-08-20","12953","7.13","0","569"
"2015-08-19","12455","6.76","0","538"
"2015-08-18","17079","9.64","0","889"
"2015-08-17","9601","5.33","0","413"
"2015-08-16","11691","6.35","0","507"
"2015-08-15","7951","4.29","0","340"
"2015-08-14","7607","4.14","0","329"
"2015-08-13","12677","6.91","0","547"
"2015-08-12","0","0.00","0","0"
"2015-08-11","0","0.00","0","0"
"2015-08-10","0","0.00","0","0"
"2015-08-09","0","0.00","0","0"
"2015-08-08","0","0.00","0","0"
"2015-08-07","6895","3.71","0","292"
"2015-08-06","10425","5.68","0","444"
"2015-08-05","9773","5.84","0","520"
"2015-08-04","9097","5.03","0","398"
"2015-08-03","10286","5.56","0","444"
"2015-08-02","19240","12.26","0","1244"
"2015-08-01","14109","8.71","0","862"
"2015-07-31","10007","5.41","0","430"
"2015-07-30","18720","10.10","0","821"
"2015-07-29","7237","3.90","0","312"
"2015-07-28","11681","6.40","0","507"
"2015-07-27","12425","6.69","0","536"
"2015-07-26","11360","6.71","0","591"
"2015-07-25","9216","6.04","0","620"
"2015-07-24","14779","7.93","0","639"
"2015-07-23","18158","10.55","0","928"
"2015-07-22","11583","6.28","0","504"
"2015-07-21","10602","5.96","0","488"
"2015-07-20","7814","4.26","0","337"
"2015-07-19","16140","9.29","0","781"
"2015-07-18","18280","10.01","0","785"
"2015-07-17","13000","7.03","0","569"
"2015-07-16","9348","5.35","0","441"
"2015-07-15","11484","6.22","0","495"
"2015-07-14","11516","7.23","0","708"
"2015-07-13","11434","6.25","0","493"
"2015-07-12","10794","6.72","0","591"
"2015-07-11","9185","5.10","0","436"
"2015-07-10","7619","4.03","0","315"
"2015-07-09","12269","6.69","0","524"
"2015-07-08","14250","7.79","0","623"
"2015-07-07","9590","5.18","0","384"
"2015-07-06","15889","8.67","0","556"
"2015-07-05","18501","11.49","0","859"
"2015-07-04","12322","6.58","0","423"
"2015-07-03","10186","5.50","0","349"
"2015-07-02","14885","8.24","0","540"
"2015-07-01","12344","6.71","0","420"
"2015-06-30","8917","4.84","0","308"
"2015-06-29","17318","9.53","0","606"
"2015-06-28","10068","5.46","0","350"
"2015-06-27","10206","5.59","0","352"
"2015-06-26","14981","8.10","0","516"
"2015-06-25","10446","5.61","0","357"
"2015-06-24","14646","8.01","0","498"
"2015-06-23","7310","4.03","0","247"
"2015-06-22","15876","8.79","0","573"
"2015-06-21","8478","4.53","0","287"
"2015-06-20","12613","6.87","0","434"
"2015-06-19","15103","8.04","0","510"
"2015-06-18","18329","10.06","0","640"
"2015-06-17","10064","5.46","0","338"
"2015-06-16","18423","10.45","0","678"
"2015-06-15","16602","9.06","0","563"
"2015-06-14","8733","4.83","0","300"
"2015-06-13","11412","6.22","0","391"
"2015-06-12","18456","10.29","0","668"
"2015-06-11","5857","3.19","0","192"
"2015-06-09","1985","1.05","0","55"
"2015-06-08","6259","3.45","0","215"
"2015-06-07","2652","1.45","0","83"
"2015-06-06","1474","0.79","0","39"
"2015-06-05","5834","3.12","0","189"
"2015-06-04","2046","1.09","0","56"
"2015-06-03","9205","5.20","0","356"
"2015-06-02","11210","6.16","0","378"
"2015-06-02","12070","6.65","0","412"
"2015-06-01","14059","7.89","0","494"
"2015-05-31","16852","9.16","0","590"
"2015-05-29","1064","0.59","0","31"
"2015-05-28","10434","5.76","0","363"
"2015-05-27","13524","7.29","0","467"
"2015-05-26","10801","5.89","0","360"
"2015-05-25","14891","7.94","0","520"
"2015-05-24","19457","10.79","0","678"
"2015-05-23","11767","6.26","0","404"
"2015-05-22","10527","5.78","0","364"
"2015-05-21","9553","5.30","0","330"
"2015-05-20","11020","6.14","0","378"
"2015-05-19","6841","3.70","0","229"
"2015-05-18","15596","8.87","0","569"
"2015-05-17","9942","5.35","0","342"
"2015-05-16","16835","11.17","0","936"
"2015-05-15","16487","9.18","0","596"
"2015-05-14","14261","7.97","0","501"
"2015-05-13","5266","2.93","0","174"
"2015-05-12","4527","2.44","0","144"
"2015-05-07","8054","4.36","0","273"
"2015-05-06","8189","4.45","0","329"
"2015-05-05","7223","3.95","0","281"
"2015-05-04","4616","2.46","0","174"
"2015-05-03","11788","6.56","0","497"
